,H9.96h_001,H9.96h_002,H9.96h_003,H9.96h_004,H9.96h_005,H9.96h_006,H9.96h_007,H9.96h_008,H9.96h_009,H9.96h_010,H9.96h_011,H9.96h_012,H9.96h_013,H9.96h_014,H9.96h_015,H9.96h_016,H9.96h_017,H9.96h_018,H9.96h_019,H9.96h_020,H9.96h_021,H9.96h_022,H9.96h_023,H9.96h_024,H9.96h_025,H9.96h_026,H9.96h_027,H9.96h_028,H9.96h_029,H9.96h_030,H9.96h_031,H9.96h_032,H9.96h_033,H9.96h_034,H9.96h_035,H9.96h_036,H9.96h_037,H9.96h_038,H9.96h_039,H9.96h_040,H9.96h_041,H9.96h_042,H9.96h_043,H9.96h_044,H9.96h_045,H9.96h_046,H9.96h_047,H9.96h_048,H9.96h_049,H9.96h_050,H9.96h_051,H9.96h_052,H9.96h_053,H9.96h_054,H9.96h_055,H9.96h_056,H9.96h_057,H9.96h_058,H9.96h_059,H9.96h_060,H9.96h_061,H9.96h_062,H9.96h_063,H9.96h_064,H9.96h_065,H9.96h_066,H9.96h_067,H9.96h_068,H9.96h_069,H9.96h_070,H9.96h_071,H9.96h_072,H9.96h_073,H9.96h_074,H9.96h_075,H9.96h_077,H9.96h_078,H9.96h_079,H9.96h_080,H9.96h_081,H9.96h_082,H9.96h_083,H9.96h_084,H9.96h_085,H9.96h_086,H9.96h_087,H9.96h_088,H9.96h_089,H9.96h_090,H9.96h_091,H9.96h_092,H9.96h_093,H9.96h_094,H9.96h_095,H9.96h_096,H9.96h_097,H9.96h_098,H9.96h_099,H9.96h_100,H9.96h_101,H9.96h_102,H9.96h_103,H9.96h_104,H9.96h_105,H9.96h_106,H9.96h_107,H9.96h_108,H9.96h_109,H9.96h_110,H9.96h_111,H9.96h_112,H9.96h_113,H9.96h_114,H9.96h_115,H9.96h_116,H9.96h_117,H9.96h_118,H9.96h_119,H9.96h_120,H9.96h_121,H9.96h_122,H9.96h_123,H9.96h_124,H9.96h_125,H9.96h_126,H9.96h_127,H9.96h_128,H9.96h_129,H9.96h_130,H9.96h_131,H9.96h_132,H9.96h_133,H9.96h_134,H9.96h_135,H9.96h_136,H9.96h_137,H9.96h_138,H9.96h_139,H9.96h_140,H9.96h_141,H9.96h_142,H9.96h_143,H9.96h_144,H9.96h_145,H9.96h_146,H9.96h_147,H9.96h_148,H9.96h_149,H9.96h_150,H9.96h_151,H9.96h_152,H9.96h_153,H9.96h_154,H9.96h_155,H9.96h_156,H9.96h_157,H9.96h_158,H9.96h_159,H9.96h_160,H9.96h_161,H9.96h_162,H9.96h_163,H9.96h_164,H9.96h_165,H9.96h_166,H9.96h_167,H9.96h_168,H9.96h_169,H9.96h_170,H9.96h_171,H9.96h_173,H9.96h_174,H9.96h_175,H9.96h_176,H9.96h_177,H9.96h_178,H9.96h_179,H9.96h_180,H9.96h_182,H9.96h_183,H9.96h_184,H9.96h_185,H9.96h_186,H9.96h_187,H9.96h_188,H9.96h_189,H9.96h_190,H9.96h_192
palm2-akap2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98,0.0,0.0,24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palm3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
palmd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pam,6.06,232.0,8.69,12.0,36.86,2.0,6.0,1.09,7.0,0.0,0.0,1.0,13.0,0.0,4.56,677.7,1214.19,0.0,595.32,9.0,11.01,53.0,743.0,456.0,1.0,219.0,1.0,83.0,450.0,0.0,602.0,171.04,12.0,3.26,214.97,75.03,1.0,1.0,173.0,164.0,19.0,71.0,71.0,31.0,5.39,232.0,242.0,6.99,546.0,53.0,2.0,3.0,199.55,1357.0,2.0,415.0,0.0,2.03,16.0,627.99,706.54,4.0,44.0,3.0,66.0,264.0,73.84,1.0,7.02,3.0,639.27,512.0,2.0,435.0,1193.23,33.94,323.78,1.0,4.0,350.0,17.0,361.94,729.03,3.0,275.0,47.56,432.0,64.0,39.0,181.0,177.04,129.01,44.0,2.9,151.0,124.01,1.0,10.0,20.0,91.0,78.0,34.0,102.84,2.0,1.0,48.0,110.0,204.0,117.0,65.3,92.0,2.0,0.0,196.03,21.0,45.0,8.0,138.0,304.04,160.0,62.01,157.44,113.95,0.0,12.09,141.0,114.0,4.0,58.86,120.01,1.0,96.22,0.0,263.5,0.0,0.0,0.0,188.0,129.0,0.0,5.0,376.16,17.0,63.0,0.0,77.0,0.0,138.0,9.12,189.23,0.0,21.0,236.0,46.61,1.0,0.0,189.01,0.0,207.0,2.15,8.86,15.0,1.01,23.0,36.0,1.0,46.04,202.86,9.0,4.0,0.0,0.0,0.0,36.0,255.0,175.0,143.02,132.06,6.0,381.0,2.0,4.0,81.99,1.0,0.0,207.95,20.0,358.0
pam16,43.0,34.0,0.0,46.01,7.0,0.0,0.0,20.0,0.0,0.0,56.0,35.0,2.82,0.0,64.0,0.0,0.0,0.0,0.0,19.0,0.0,20.0,0.0,0.0,14.0,32.0,39.1,3.0,32.0,0.0,0.0,21.0,0.0,42.0,0.0,0.0,57.0,22.0,21.0,2.0,0.0,46.0,14.0,30.0,26.08,9.0,54.0,0.0,29.0,38.0,0.0,0.0,24.0,11.0,63.0,0.0,0.0,0.0,19.0,22.0,0.0,0.0,0.0,36.95,10.0,12.0,42.0,0.0,38.0,0.0,8.0,0.0,19.0,0.0,0.0,0.0,52.0,41.0,0.0,0.0,12.0,4.0,41.0,4.0,0.0,25.0,11.0,17.0,6.0,17.0,7.0,5.0,10.0,20.0,43.0,2.64,5.0,23.0,5.0,24.0,16.0,0.0,9.68,0.0,17.0,17.86,8.0,8.0,22.0,18.0,26.0,0.0,1.0,0.0,11.0,4.0,0.0,7.0,43.0,0.0,1.0,5.46,4.0,37.0,38.0,23.0,16.0,9.0,7.0,0.0,6.64,0.0,0.0,19.0,0.0,34.0,16.0,4.0,0.0,0.0,18.0,0.0,12.0,25.0,32.0,80.08,0.0,6.0,13.0,3.0,0.0,30.0,14.0,34.0,2.0,33.0,0.0,0.0,0.0,0.0,37.0,54.0,14.0,6.0,17.0,34.0,41.0,4.0,8.0,31.83,46.0,9.0,22.0,12.0,0.0,63.0,16.0,14.0,7.0,36.0,0.0,10.0,0.0,28.0,8.0,15.0,0.0,23.0
pamr1,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.09,0.0,0.0,0.0,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,75.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pan2,0.0,0.05,0.96,0.0,0.0,28.0,26.08,0.0,0.0,53.04,2.2,26.75,0.0,0.0,145.04,0.0,77.79,94.61,27.02,0.0,1.93,0.0,84.0,82.04,0.0,83.81,92.94,0.0,1.0,13.19,40.03,50.01,0.0,0.0,0.0,0.0,1.87,22.01,0.0,4.01,0.0,0.0,0.0,0.61,0.0,1.75,0.0,0.0,38.0,1.0,5.0,0.0,11.0,0.83,1.02,0.0,62.02,6.5,0.0,36.98,0.0,12.0,0.0,0.0,2.02,1.0,1.0,0.0,0.0,1.0,0.0,0.0,27.09,155.89,0.0,0.0,96.15,0.0,251.42,0.0,0.0,9.21,32.01,0.0,5.4,1.01,0.0,46.02,0.0,93.0,88.55,0.0,17.0,3.02,0.91,1.32,32.01,122.03,3.02,0.0,1.01,17.0,42.04,0.0,3.12,72.26,0.0,164.16,5.98,6.1,4.77,0.0,4.02,0.0,38.17,3.04,3.01,0.0,73.96,105.07,0.0,10.8,0.64,0.0,0.87,10.36,0.0,0.06,38.06,42.61,1.0,0.0,0.0,1.06,118.22,138.22,0.0,1.0,0.0,1.0,0.0,8.89,0.97,51.72,0.0,0.0,0.0,3.53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,233.16,87.37,187.01,0.0,0.0,4.0,213.0,0.0,151.05,0.0,2.0,0.0,0.0,0.0,7.03,0.0,0.0,163.36,8.72,9.0,27.04,0.96,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pan3,480.0,200.0,383.16,128.0,1.0,196.18,220.0,321.0,220.0,730.0,1078.88,303.92,897.0,343.05,620.98,937.05,194.0,253.99,252.0,151.0,244.0,251.0,1458.0,546.59,440.0,194.98,202.0,290.96,748.0,273.0,1154.0,671.2,502.02,604.0,625.0,2.0,1087.81,140.0,622.0,306.0,752.0,465.0,220.0,867.26,261.0,242.0,389.0,283.0,319.0,196.84,352.73,4.0,425.0,242.04,140.0,1113.01,583.96,0.0,215.78,556.0,1342.72,77.0,359.0,221.0,186.0,425.97,1197.01,3.0,660.0,42.0,273.0,237.0,746.0,195.49,957.01,1553.0,1993.65,332.0,431.04,578.14,286.0,796.1,1214.0,81.0,285.01,914.01,762.0,624.98,196.8,1041.41,683.0,295.0,153.0,329.83,831.0,1316.0,476.86,438.0,256.0,491.0,760.85,816.0,297.04,451.0,255.0,726.09,418.04,1111.59,688.0,574.07,824.0,454.0,650.0,327.98,183.0,309.0,510.0,624.12,42.0,593.0,298.97,382.88,482.0,624.0,6.0,600.66,370.0,348.0,705.0,1419.02,1211.0,2961.32,3465.02,1453.82,1568.65,1265.0,1599.0,2533.15,1470.92,1590.0,1864.75,1588.96,2597.09,1710.0,629.0,3507.47,1158.0,1639.58,745.14,1580.33,1342.31,377.0,1331.0,935.0,2372.01,2453.28,1801.99,2495.33,1034.97,3417.51,1894.12,1901.03,1476.03,781.0,2012.99,1806.11,2928.17,2070.59,706.01,803.0,2613.97,1480.99,1434.69,3291.03,1349.97,1445.99,2770.84,2140.32,2505.97,4941.9,2888.23,2815.33,753.4,1998.47,2385.01,3859.66,814.8,2041.97
pank1,3.98,88.11,89.53,0.0,1.13,3.98,2.02,1.68,6.02,2.93,0.07,1.57,3.78,2.07,3.65,0.9,91.38,4.26,1.16,0.0,2.15,0.0,313.04,0.0,0.0,1.0,11.56,27.26,59.8,1.74,40.85,0.79,429.12,1.59,0.0,0.0,5.06,218.07,28.1,0.0,2.16,37.19,203.16,0.43,0.0,5.57,1.1,0.0,2.12,2.27,1.08,4.87,0.0,1.02,1.08,0.93,8.5,0.0,47.41,1.59,0.3,380.43,35.33,2.22,1.17,2.23,545.49,0.0,6.49,1.0,0.0,6.02,62.29,1.15,53.57,0.0,0.0,256.55,277.54,47.77,170.91,12.23,0.97,0.0,20.76,4.4,4.94,3.49,2.05,54.34,129.19,91.03,19.38,0.48,20.29,3.79,2.57,2.77,3.8,178.73,3.65,2.73,2.78,5.54,2.58,1.61,247.68,2.28,9.7,7.51,0.0,6.49,8.19,5.78,4.12,14.55,0.91,1.88,3.68,28.91,199.64,6.33,4.4,1.25,1.84,25.62,7.75,0.17,13.17,2.07,2.1,5.63,3.68,8.44,0.99,5.14,12.64,4.89,3.36,8.83,9.05,12.69,4.19,7.13,5.43,15.48,5.12,4.27,9.78,22.8,7.06,1.02,0.0,3.71,13.22,30.54,4.83,7.61,0.0,0.88,5.05,3.55,1.41,6.25,6.02,1.23,8.07,5.57,0.0,0.0,7.2,0.0,20.59,2.48,16.7,80.05,4.3,17.92,1.04,328.73,3.61,2.86,5.39,8.6,5.29,3.15,0.0,9.06
pank2,0.0,151.0,3.0,0.0,0.0,0.0,35.0,2.0,0.0,0.0,54.0,0.0,75.0,161.0,1.0,185.38,49.0,0.0,18.0,3.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,61.0,22.0,0.0,1.0,0.0,0.0,63.0,6.0,0.0,0.0,58.0,0.0,1.0,1.0,16.0,611.1,0.0,67.0,55.0,22.0,0.0,226.0,0.0,0.0,0.0,108.0,0.0,88.0,85.0,201.0,172.71,0.0,119.0,5.0,0.0,0.0,72.0,48.0,3.0,1.0,15.0,0.0,112.0,18.0,19.0,1.0,13.0,47.0,13.0,36.0,165.99,2.0,12.0,0.0,38.0,102.0,40.02,8.0,55.0,12.0,33.0,10.0,69.0,200.91,133.0,21.0,77.95,72.0,17.0,0.0,57.0,47.97,108.0,25.0,103.0,75.0,26.0,78.97,49.89,50.0,1.0,103.66,0.0,13.0,0.0,0.0,26.0,0.0,46.0,10.0,7.0,0.0,1.0,150.0,34.0,15.0,5.0,12.0,56.83,0.0,40.0,14.0,0.0,0.0,25.0,62.0,16.0,108.54,0.0,31.0,19.0,0.0,5.0,0.0,37.97,14.0,59.99,35.98,4.0,20.0,25.0,14.0,59.0,2.0,169.0,0.0,0.0,122.04,26.0,0.0,20.0,33.85,0.0,56.0,0.0,251.0,137.34,0.0,112.9,2.0,19.0,0.0,45.55,0.0,29.0,0.0,87.95,0.0,39.0,382.0,0.0,6.0,28.0,12.0,240.0,72.0,33.0
pank3,36.0,1.0,107.0,266.0,0.0,0.0,299.0,35.0,118.0,0.0,8.01,90.98,1.0,0.0,258.0,195.0,0.0,0.0,1.0,1.0,0.0,58.0,3.0,1.0,223.0,0.0,66.0,0.0,237.0,0.0,58.1,4.0,39.48,0.0,0.0,0.0,433.0,8.0,52.0,23.0,0.0,296.0,11.0,0.0,21.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,7.0,1.0,0.0,37.0,91.0,2.0,371.0,0.0,83.0,56.0,0.0,0.0,460.03,0.0,0.0,342.99,0.0,0.0,0.0,34.0,1.0,68.0,0.0,2.0,0.0,1.0,0.0,89.0,2.0,24.0,2.0,1.0,255.0,3.0,91.0,51.98,6.0,44.0,3.0,13.16,12.0,25.0,9.0,3.51,41.0,29.97,19.0,15.0,213.0,13.0,0.0,4.0,0.0,2.0,28.0,0.0,62.0,74.0,15.0,0.0,2.0,0.0,16.0,64.0,208.0,0.0,21.0,0.0,312.0,0.0,45.0,36.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,30.0,0.0,115.63,0.0,9.0,21.0,47.0,32.89,0.0,0.0,21.0,1.0,7.0,203.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,26.0,62.0,0.0,212.47,5.0,41.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,63.98,1.0,0.0,22.0,0.0
pank4,0.0,235.0,0.0,0.0,0.0,25.0,0.0,10.0,127.0,1.0,0.0,0.0,1.0,0.0,2.99,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,117.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,259.0,28.0,0.0,1.0,296.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,13.0,0.0,197.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,53.0,0.0,0.0,0.0,2.0,0.0,3.0,28.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,24.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,33.0,5.0,53.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,26.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panx1,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,7.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,17.0,18.0,107.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,110.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.99,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
panx2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panx3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
